Name,URL,"Price, rub",Year,KmAge,Engine,GearBox,CarType,Place
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115638839-7e9e9103/?from=searchline,670000,2020,40000,1.6 л/90л.с./Бензин,механика,лифтбек,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115527532-0b22570c/?from=searchline,710000,2019,26000,1.6 л/106л.с./Бензин,механика,лифтбек,Уфа
LADA (ВАЗ) Granta Euro-2 I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115340966-ad246a91/?from=searchline,750000,2021,14000,1.6 л/90л.с./Бензин,механика,лифтбек,Уфа
LADA (ВАЗ) Granta Euro-2 I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115340883-03fe1897/?from=searchline,580000,2019,56000,1.6 л/90л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Vesta SW I,https://auto.ru/cars/used/sale/vaz/vesta/1115340862-ea82a9b3/?from=searchline,1200000,2021,4000,1.6 л/106л.с./Бензин,робот,универсал 5 дв.,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1115340861-994407a8/?from=searchline,610000,2017,100000,1.6 л/106л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116783766-c2240279/?from=searchline,290000,2011,143000,1.6 л/98л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta Cross I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116783643-203825da/?from=searchline,970000,2020,44000,1.6 л/87л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Largus I,https://auto.ru/cars/used/sale/vaz/largus/1116784436-36670529/?from=searchline,530000,2014,257000,1.6 л/102л.с./Бензин,механика,универсал 5 дв.,Стерлитамак (120км отУфы)
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116783767-6a7579fb/?from=searchline,160000,2011,101000,1.6 л/90л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Kalina II,https://auto.ru/cars/used/sale/vaz/kalina/1116780666-00aa2c59/?from=searchline,610000,2015,159000,1.6 л/87л.с./Бензин,автомат,универсал 5 дв.,Уфа
LADA (ВАЗ) Largus Cross I Рестайлинг,https://auto.ru/cars/used/sale/vaz/largus/1116777738-81c9a376/?from=searchline,1570000,2021,43000,1.6 л/90л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) 2107,https://auto.ru/cars/used/sale/vaz/2107/1116773283-78304792/?from=searchline,90000,2005,276000,1.3 л/64л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116773538-18045934/?from=searchline,360000,2012,167000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Азнакаево (180км отУфы)
LADA (ВАЗ) Priora I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2170/1116773539-e9e15f26/?from=searchline,580000,2015,197000,1.6 л/106л.с./Бензин,робот,седан,Азнакаево (180км отУфы)
LADA (ВАЗ) Largus I,https://auto.ru/cars/used/sale/vaz/largus/1116765054-de5af51c/?from=searchline,820000,2019,71000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1116699950-35ae1e8b/?from=searchline,300000,2009,98000,1.6 л/98л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Vesta SW Cross I,https://auto.ru/cars/used/sale/vaz/vesta/1105499230-6823279c/?from=searchline,1410000,2021,13000,1.6 л/113л.с./Бензин,вариатор,универсал 5 дв.,Верхнеяркеево (130км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116766456-2282d851/?from=searchline,1030000,2021,13000,1.6 л/90л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Largus I,https://auto.ru/cars/used/sale/vaz/largus/1116764763-7d63a94d/?from=searchline,970000,2019,98000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Vesta SW Cross I,https://auto.ru/cars/used/sale/vaz/vesta/1116760670-3ea4f0f7/?from=searchline,1310000,2020,98000,1.8 л/122л.с./Бензин,робот,универсал 5 дв.,Уфа
LADA (ВАЗ) Granta Euro-2 I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116761581-04ba07cb/?from=searchline,760000,2021,66000,1.6 л/90л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116683733-31b8fdb2/?from=searchline,220000,2010,152000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1116659208-b1b420e3/?from=searchline,990000,2021,4000,1.6 л/106л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116416014-f737c8ce/?from=searchline,770000,2018,42000,1.6 л/106л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115865245-e14bea86/?from=searchline,820000,2021,18000,1.6 л/87л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1116753202-fdfb8cf8/?from=searchline,780000,2017,90000,1.8 л/122л.с./Бензин,робот,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1116753027-1811ad7b/?from=searchline,240000,2012,125000,1.6 л/87л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1116753660-17826a20/?from=searchline,370000,2012,181000,1.6 л/98л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116799023-e5d13634/?from=searchline,300000,2012,189000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116798743-2e007983/?from=searchline,200000,2013,264000,1.6 л/90л.с./Бензин,механика,хэтчбек 5 дв.,Кушнаренково
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116754026-549f0c5a/?from=searchline,320000,2012,140000,1.6 л/98л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Kalina II,https://auto.ru/cars/used/sale/vaz/kalina/1116752537-38300021/?from=searchline,370000,2013,155000,1.6 л/98л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Vesta Cross I,https://auto.ru/cars/used/sale/vaz/vesta/1116748573-66437f28/?from=searchline,1040000,2018,51000,1.6 л/106л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116749910-a1b016ee/?from=searchline,270000,2012,231000,1.4 л/89л.с./Бензин,механика,хэтчбек 5 дв.,Мелеуз (190км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116749911-8f76bcac/?from=searchline,740000,2020,24000,1.6 л/98л.с./Бензин,автомат,лифтбек,Мелеуз (190км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116748357-f86aaba4/?from=searchline,700000,2019,51000,1.6 л/98л.с./Бензин,автомат,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116748350-9874b0c1/?from=searchline,600000,2016,91000,1.7 л/83л.с./Бензин,механика,внедорожник 3 дв.,Уфа
LADA (ВАЗ) Niva I Рестайлинг (Travel),https://auto.ru/cars/used/sale/vaz/niva/1116534560-be794c91/?from=searchline,1160000,2021,12000,1.7 л/80л.с./Бензин,механика,внедорожник 5 дв.,Уфа
LADA (ВАЗ) 2110 Премьер,https://auto.ru/cars/used/sale/vaz/2110/1116744643-9084a954/?from=searchline,60000,2005,168000,1.5 л/92л.с./Бензин,механика,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) Largus Cross I,https://auto.ru/cars/used/sale/vaz/largus/1116744110-d10d2b10/?from=searchline,840000,2017,194000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Vesta SW I,https://auto.ru/cars/used/sale/vaz/vesta/1116745781-21055b0d/?from=searchline,1290000,2020,29000,1.6 л/106л.с./Бензин,робот,универсал 5 дв.,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380494-a81f7852/?from=searchline,770000,2020,14000,1.6 л/98л.с./Бензин,автомат,лифтбек,Белебей (130км отУфы)
LADA (ВАЗ) Vesta SW I,https://auto.ru/cars/used/sale/vaz/vesta/1116719846-d029c3a7/?from=searchline,1330000,2021,23000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Белебей (130км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116717381-e8737a7c/?from=searchline,1340000,2021,39000,1.8 л/122л.с./Бензин,робот,седан,Белебей (130км отУфы)
LADA (ВАЗ) Largus I Рестайлинг,https://auto.ru/cars/used/sale/vaz/largus/1116710173-d562b69c/?from=searchline,1590000,2021,84000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116706789-db026024/?from=searchline,470000,2014,83000,1.9 л/75л.с./Дизель,механика,внедорожник 3 дв.,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116697684-7ac21a3f/?from=searchline,650000,2019,56000,1.6 л/98л.с./Бензин,автомат,лифтбек,Уфа
LADA (ВАЗ) Vesta SW I,https://auto.ru/cars/used/sale/vaz/vesta/1116686185-80c52bf3/?from=searchline,1100000,2019,50000,1.6 л/113л.с./Бензин,вариатор,универсал 5 дв.,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116674797-e4d716b8/?from=searchline,1390000,2020,41000,1.6 л/113л.с./Бензин,вариатор,седан,Уфа
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116673659-a421d8c0/?from=searchline,190000,2011,129000,1.5 л/77л.с./Бензин,механика,хэтчбек 5 дв.,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Vesta CNG I,https://auto.ru/cars/used/sale/vaz/vesta/1116655328-d2348df6/?from=searchline,970000,2019,105000,1.6 л/106л.с./Газ,механика,седан,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116655325-09bba986/?from=searchline,270000,2009,128000,1.6 л/84л.с./Бензин,механика,хэтчбек 5 дв.,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116655323-eec6b603/?from=searchline,130000,2006,212000,1.5 л/77л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) 2131 (4x4) Urban I,https://auto.ru/cars/used/sale/vaz/2131_4x4/1116647788-213b0384/?from=searchline,670000,2016,90000,1.7 л/83л.с./Бензин,механика,внедорожник 5 дв.,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116647787-a90a1729/?from=searchline,870000,2019,61000,1.6 л/106л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) 2115,https://auto.ru/cars/used/sale/vaz/2115/1116639881-8487831d/?from=searchline,210000,2007,138000,1.5 л/68л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) 2121 (4x4) Urban I Рестайлинг (2020),https://auto.ru/cars/used/sale/vaz/2121/1116609178-ee9ec825/?from=searchline,1060000,2021,37000,1.7 л/83л.с./Бензин,механика,внедорожник 3 дв.,Уфа
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116579103-2058b154/?from=searchline,760000,2017,92000,1.9 л/75л.с./Дизель,механика,внедорожник 3 дв.,Уфа
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116579098-1dbd7845/?from=searchline,650000,2018,73000,1.6 л/98л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1116541566-51e04e62/?from=searchline,760000,2016,60000,1.8 л/122л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116541557-f30cea88/?from=searchline,1150000,2020,55000,1.6 л/113л.с./Бензин,вариатор,седан,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Vesta SW I,https://auto.ru/cars/used/sale/vaz/vesta/1116541553-c32dff8c/?from=searchline,1280000,2021,5000,1.8 л/122л.с./Бензин,робот,универсал 5 дв.,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116541550-bd68266e/?from=searchline,710000,2019,70000,1.6 л/106л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116541548-f20082ed/?from=searchline,800000,2021,22000,1.6 л/106л.с./Бензин,робот,лифтбек,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116520890-cdd52da8/?from=searchline,850000,2020,70000,1.6 л/106л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116413114-eb03691c/?from=searchline,880000,2021,33000,1.6 л/106л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1116412466-2d01d968/?from=searchline,810000,2016,93000,1.8 л/122л.с./Бензин,робот,хэтчбек 5 дв.,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116381032-ba96f243/?from=searchline,600000,2019,45000,1.6 л/90л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116381004-03f8395f/?from=searchline,640000,2019,33000,1.6 л/106л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) Kalina II,https://auto.ru/cars/used/sale/vaz/kalina/1116381003-9a3c112a/?from=searchline,570000,2017,44000,1.6 л/98л.с./Бензин,автомат,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380999-909f61f3/?from=searchline,790000,2020,13000,1.6 л/90л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116380993-7299d4a2/?from=searchline,770000,2018,122000,1.8 л/122л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380990-c19f498a/?from=searchline,660000,2020,44000,1.6 л/106л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380985-9c9d1589/?from=searchline,790000,2020,2000,1.6 л/106л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380984-d1204a26/?from=searchline,690000,2020,45000,1.6 л/87л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116380981-7d668701/?from=searchline,640000,2016,110000,1.6 л/113л.с./Бензин,вариатор,седан,Октябрьский (160км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380980-184b25eb/?from=searchline,830000,2020,20000,1.6 л/106л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116380968-0f7a977f/?from=searchline,740000,2016,79000,1.6 л/106л.с./Бензин,механика,седан,Октябрьский (160км отУфы)
LADA (ВАЗ) Kalina II,https://auto.ru/cars/used/sale/vaz/kalina/1116380963-4e7614b1/?from=searchline,550000,2018,69000,1.6 л/98л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380961-a1f93ffa/?from=searchline,840000,2021,13000,1.6 л/87л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116380956-2ce7c99f/?from=searchline,640000,2018,33000,1.6 л/82л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380961-a1f93ffa/?from=searchline,840000,2021,13000,1.6 л/87л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116380956-2ce7c99f/?from=searchline,640000,2018,33000,1.6 л/82л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380941-d1bed123/?from=searchline,770000,2019,48000,1.6 л/87л.с./Бензин,механика,универсал 5 дв.,Белебей (130км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380913-6d46af19/?from=searchline,690000,2019,41000,1.6 л/106л.с./Бензин,механика,седан,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Vesta SW I,https://auto.ru/cars/used/sale/vaz/vesta/1116380908-fede1ea3/?from=searchline,1000000,2019,33000,1.8 л/122л.с./Бензин,робот,универсал 5 дв.,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380892-e98ace30/?from=searchline,670000,2020,41000,1.6 л/87л.с./Бензин,механика,лифтбек,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380869-de721425/?from=searchline,800000,2021,9000,1.6 л/90л.с./Бензин,механика,седан,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116380866-54e05e77/?from=searchline,460000,2017,69000,1.6 л/98л.с./Бензин,автомат,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116380859-8a1afef3/?from=searchline,600000,2019,62000,1.6 л/106л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116380856-01a1a09d/?from=searchline,470000,2018,60000,1.6 л/87л.с./Бензин,механика,лифтбек,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116380849-47e05d67/?from=searchline,770000,2019,116000,1.6 л/113л.с./Бензин,вариатор,седан,Уфа
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116380843-0edc511e/?from=searchline,650000,2018,41000,1.7 л/80л.с./Бензин,механика,внедорожник 3 дв.,Белебей (130км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116380842-7ce33a38/?from=searchline,1050000,2019,67000,1.6 л/113л.с./Бензин,вариатор,седан,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116380841-66c41629/?from=searchline,870000,2020,106000,1.8 л/122л.с./Бензин,механика,седан,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116380835-221a6dc8/?from=searchline,470000,2018,126000,1.6 л/82л.с./Бензин,механика,седан,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) 2121 (4x4) I Рестайлинг (2020),https://auto.ru/cars/used/sale/vaz/2121/1116380834-6fb35110/?from=searchline,790000,2020,28000,1.7 л/83л.с./Бензин,механика,внедорожник 3 дв.,Уфа
LADA (ВАЗ) Niva I,https://auto.ru/cars/used/sale/vaz/niva/1116380829-9382fe72/?from=searchline,1050000,2020,14000,1.7 л/80л.с./Бензин,механика,внедорожник 5 дв.,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1116380823-6013f917/?from=searchline,710000,2017,102000,1.8 л/122л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116380821-98077a78/?from=searchline,250000,2012,258000,1.6 л/81л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Largus I,https://auto.ru/cars/used/sale/vaz/largus/1116380820-4f713794/?from=searchline,720000,2018,61000,1.6 л/84л.с./Бензин,механика,универсал 5 дв.,Микрорайон Первомайский (110км отУфы)
